,Text
199,@PPathole @SpaceX Lasers
200,"RT @SpaceX: SpaceX’s rideshare offering provides increased access to space for small satellite operators seeking a reliable, affordable rid…"
201,RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/6gWWlLiXdG
202,RT @SpaceX: Liftoff! https://t.co/js3zVM77rH
203,@CodeWisdom <U+0001F4AF>
204,@teslascope We’re switching to a more sensible FSD version numbering to distinguish between major &amp; minor updates.… https://t.co/QmHipv5zQs
205,"@NASASpaceflight Hopefully, early next week"
206,"RT @SpaceX: Due to unfavorable weather, we are standing down from today's launch; the team will continue with the countdown until T-30 seco…"
207,"@arstechnica @SciGuySpace Given so many other companies are depending on this mission, it is getting even more scru… https://t.co/GBY9NACrSn"
208,Launching many small satellites for a wide range of customers tomorrow. Excited about offering low-cost access to o… https://t.co/w66u5qdUh9
209,"@GerberKawasaki They are part of the solution, but require lots of fresh water &amp; land. We may need something that’s… https://t.co/FWXsmo0f8t"
210,@Erdayastronaut @SpaceX SN9 https://t.co/kwTVwM7MBn
211,"@Erdayastronaut It’s a good path for fully renewable rocket energy, so solves part of problem, but longer chain hyd… https://t.co/xUGrZQiJzX"
212,Details next week
213,Am donating $100M towards a prize for best carbon capture technology
214,@Kristennetten @SpaceX @EliBurton_ @EvaFoxU @JaneidyEve @austinbarnard45 @ElonsBrain @JasoN7Patterson @AstroJordy @RenataKonkoly Pretty much
215,@ElonsWorld @Tesla @SpaceX @neuralink @boringcompany @EashanMisra That would probably mean civilization is doing gr… https://t.co/sIAr8iFvWc
216,@LaurenRow5 @EvaFoxU @RenataKonkoly @sarapolak_cz @seanmmitchell @28delayslater @ElonsWorld @JohnnaCrider1… https://t.co/vv6TthKR55
217,@TesLatino @Tesla Absolutely! They rock. <U+0001F5A4>
218,RT @SpaceX: Falcon 9 launches Starlink to orbit – the eighth launch and landing of this booster https://t.co/zyj8ZdDFql
219,@kellyreid The rate-limiting part or process in cell production is constantly changing
220,"@FrancisSuarez @CityofMiami Cars &amp; trucks stuck in traffic generate megatons of toxic gases &amp; particulate, but… https://t.co/JcQIaCxJno"
221,"@RationalEtienne @OwenSparks_ @Tesla With our giant casting machines, we are literally trying to make full-size car… https://t.co/CHGQMaIYTs"
222,@lexfridman @tegmark Tegmark is an exceptionally smart &amp; good human
223,"@OwenSparks_ The best manufacturing technology is in ultra high volume industries, like food &amp; beverage, some medical (eg syringes) &amp; toys"
224,Battery cell production is the fundamental rate-limiter slowing down a sustainable energy future. Very important pr… https://t.co/9ybABEzxCV
225,@p_ferragu Looking into this. No question that FSD should be viewed as reasonably valuable when doing a trade-in.
226,@tobyliiiiiiiiii @Erdayastronaut For sure
227,@Erdayastronaut Glad you’re ok
228,@Virgin_Orbit Congratulations!
229,@teslaownersSV This is a good one
230,@MrBeastYT I whistle
231,@DMC_Ryan @C_R_H_M @Tesla Cybertruck doesn’t need a garage
232,@DMC_Ryan @Tesla It will be awesome
233,@owenshift Good point
234,@signalapp Your server-side code is doing too much
235,@Wikipedia Happy birthday Wikipedia! So glad you exist.
236,@TheOnion Guess you been watching Cobra Kai
237,@SuperclusterHQ @w00ki33 Fallout New Texas
238,@Breedlove22 @benmezrich Only Chuck Norris can divide by zero
239,@Cerberu21014829 @Breedlove22 @benmezrich Good point
240,"@Breedlove22 @benmezrich The thing we call money is just an information system for labor allocation. 

What actuall… https://t.co/JZ6zmQGBO3"
241,"Monty Python is amazing
https://t.co/UJq94IWT88"
242,@RationalEtienne @tobyliiiiiiiiii @Erdayastronaut They sure can twist the knife in that show!
243,@tobyliiiiiiiiii @Erdayastronaut Probably wise
244,@Erdayastronaut We’re making major improvements to ease of engine swap. Needs to be a few hours at most.
245,"@PPathole @johnkrausphotos @SpaceX Two of the engines need slight repairs, so will be switched out"
246,@johnkrausphotos @SpaceX Nice shot
247,"@realOmarAbdalah We don’t have high school internships, but please apply when you’re in college!"
248,"@skorusARK Prototypes are easy, volume production is hard, positive cash flow is  excruciating"
249,@Tesla Physics
250,"RT @SpaceX: Splashdown of Dragon confirmed, completing SpaceX’s 21st @Space_Station resupply mission and the first return of a cargo resupp…"
251,@Erdayastronaut Detanking &amp; inspections now. Good progress towards our “Hop in &amp; go to Mars!” goal.
252,All three static fires completed &amp; no RUDs!
253,"@justpaulinelol @Erdayastronaut @SpaceX Wow, a lot has happened in 10 years!"
254,@OfficialJlipper Fair enough haha
255,https://t.co/ho7yGXAS3a
256,@NASASpaceflight Sea shanty tiktok takes it to a new level with actual pirate ships
257,@ConnectDotsToo Sure
258,Today at SpaceX is about practicing Starship engine starts. Ship is held down by massive pins while engines are fir… https://t.co/QtIiWLxXPl
259,@Tesmanian_com As promised
260,Legalize comedy
261,@lvladimirovBG You can steal our name/logos &amp; we probably won’t sue you
262,@arstechnica @SciGuySpace We’re just trying to get people to Mars. Help would be appreciated.
263,"@SpaceX @Space_Station One day, we will get a camera up there that also shows the star field in the background"
264,RT @SpaceX: Separation confirmed! Dragon performing 3 departure burns to move away from the @Space_Station https://t.co/G27ohWvnXj
265,@lexfridman Suicide is more than double homicide https://t.co/MvWGPs9uQE
266,@lexfridman Absolutely
267,"Hey you …
Yeah you Queen …
You’re gonna make it! <U+0001F495><U+0001F495> https://t.co/LrqdIrbIyd"
268,"@TheOldManPar @DJSnM @MachinePix Hate to say it, but might be true"
269,@MachinePix The robot future is coming
270,"@wonderofscience @physicsJ 300km every millisecond, but there are times I wish it were faster"
271,https://t.co/TKkruvgBth https://t.co/ocy2gFRYvN
272,@iamdevloper https://t.co/BkKeiIicYe
273,Mus protec <U+0001F476> yoda https://t.co/1dvhG0nTkU
274,@roscosmos <U+041E><U+043D> <U+0431><U+044B><U+043B> <U+0432><U+0435><U+043B><U+0438><U+043A><U+043E><U+043B><U+0435><U+043F><U+0435><U+043D>
275,@RationalEtienne @TheBabylonBee This is an important distinction
276,@ValaAfshar Much more than this &amp; increasing rapidly
277,@CodingMark @flcnhvy It is
278,"@archillect Once in a while, something happens that is even better than we imagined"
279,@skorusARK The factory is the product
280,@AustinTeslaClub @TheBabylonBee Probably commenting on @signalapp will do more
281,@PPathole I bought the replacement glass from a junkyard for $20. They’re great places to get spare parts.
282,@TheBabylonBee A lot of people are going to be super unhappy with West Coast high tech as the de facto arbiter of free speech
283,@alexandersibert @signalapp Already donated to Signal a year ago. Will donate more.
284,@benmezrich I am primarily trying to advance two causes: sustainable energy &amp; extending life/consciousness beyond E… https://t.co/VYBfaVHkys
285,@song_wooseok @GerberKawasaki @benmezrich <U+0001F923><U+0001F923>
286,@Ragazaga5 @SpacePadreIsle Maybe a Tesla AI day later this year
287,@SpacePadreIsle The Prancing Pony?
288,@BoredElonMusk <U+0001F923><U+0001F923>
289,@erigganewmoney <U+0001F622>
290,@mayemusk It’s true
291,"@glenn22x @woketopiansa Yes, but not for long"
292,"@woketopiansa Yeah, they seemed optimistic too"
293,"My 14-year-old son, Saxon, said he feels like 2021 will be a good year. I agree. Let us all make it so."
294,@Erdayastronaut @SpaceX Was also thinking that SpaceX Boca should hold fun parties and give tours for the community from time to time
295,"@Erdayastronaut @SpaceX I super support public spaces around our production &amp; launch sites, wherever it can be done… https://t.co/wmqWcT2WFH"
296,@Christo49699922 @sean18743005 @Erdayastronaut @SpaceX That too
297,@sean18743005 @Erdayastronaut @SpaceX Catapult high into the air &amp; land on the roof with a base jumping parachute (the only way to travel)
298,"@Erdayastronaut @SpaceX That’s actually our restaurant, but SpaceX is building a futuristic bar at the top of the h… https://t.co/z2UmtGSAoI"
299,@techreview And increase fun! Hopefully.
300,@benmezrich Me neither
301,@TonyChoMrMagic @TeslaEnergy One of the best Tesla Solar Roof installations
302,"@91demigod No, but maybe one day"
303,"@PPathole @engineers_feed Yes, that would be the best way to do it. A large solar field or reactor is needed for po… https://t.co/Ph6x1PlnaM"
304,@engineers_feed His sick beats https://t.co/8PbsgffzRp
305,"@flcnhvy Probably less than a few dozen primary decision-makers. Technically, only three."
306,"@Erdayastronaut @lexfridman Or at least the option for verification, so that the public can ascribe more credibilit… https://t.co/jU4WemVsjG"
307,Launch underway https://t.co/wbk7ZZ0Fqx
308,"Btw, critical feedback is always super appreciated, as well as ways to donate money that really make a difference (way harder than it seems)"
309,@eugenelee3 @engineers_feed Yup
310,"@engineers_feed Indirectly, an electric rocket is possible by using electricity to convert CO2+H2O —&gt; CH4+O2. This… https://t.co/fqzOtWQT9d"
311,"@engineers_feed Not to get to orbit, unfortunately. In space, photon emission powered by matter-antimatter annihila… https://t.co/Y8PO10oPQN"
312,"@Teslarati @ResidentSponge This will be hard to make, as it isn’t like any other vehicle"
313,@4thFromOurStar Playing the long game
314,@ashleevance True
315,"@ID_AA_Carmack I hope so. Wings don’t work on the moon at all and def not well on Mars. Also, no runways."
316,@EricRWeinstein Hamiltonians have +2V the potential of Langrangians and a play!
317,https://t.co/2ja38Z8MRE
318,"@teslaownersSV Well, back to work …"
319,@teslaownersSV How strange
320,Use Signal
321,@TheHackersNews Ya don’t say. Reminds me of this timeless classic … https://t.co/Gq1wayoTIr
322,@UniverCurious Fast water with tiny rocks
323,"@flcnhvy Yes, and then Occam’s razor is actually third most likely"
324,"As seen from an external observer, not the participants"
325,The most entertaining outcome is the most likely
326,@PPathole Dumb and Dumber is a great movie tho
327,This is called the domino effect https://t.co/qpbEW54RvM
328,@Dtrford @austinbarnard45 @AlexSvanArt @ErcXspace @SpceEnthusiast @SpacexVision @TomDixonDesign @SpaceX… https://t.co/eS5gArRyvS
329,"Because of the large footprint, it may seem flat, but actually ranges up to 5 stories tall"
330,Snow falling on Giga Berlin https://t.co/eTXMtYp8hG
331,@RGVaerialphotos @SpaceX Yes
332,@Gfilche <U+0001F609>
333,@flcnhvy Tesla is responsible for 2/3 of all the personal &amp; professional pain in my life combined. But it was worth it.
334,"So proud of the Tesla team for achieving this major milestone! At the start of Tesla, I thought we had (optimistica… https://t.co/1wlybPKMZj"
335,"RT @Tesla: In 2020, we produced and delivered half a million cars. Huge thanks to all those who made this possible.
https://t.co/q43vz6RMhd"
336,"@newscientist Um, we have giant fusion reactor in the sky that works with no maintenance"
337,"@comma_ai Tesla Full Self-Driving will work at a safety level well above that of the average driver this year, of t… https://t.co/jmABJUqfDF"
338,"@PPathole Dojo isn’t needed, but will make self-driving better. It isn’t enough to be safer than human drivers, Aut… https://t.co/dyy2rMhgIl"
339,Ignore the heading
340,"Great interview with Mathias Döpfner
https://t.co/ewnaHc4cH0"
341,@jack <U+0001F3A9> The Greatest Gatsby <U+0001F3A9>
342,@flcnhvy Inspired by the ballet
343,"@smvllstvrs @ErcXspace Rocket motion is primarily vertical, so you want the top open"
344,@jack Let’s make the roaring 20’s again!
345,@Erdayastronaut Might be a few lumps along the way
346,"@Erdayastronaut @flcnhvy @ErcXspace Production is hard, prototypes are easy. Building ~1000 Starships to create a s… https://t.co/XJLLjplJbP"
347,@ICannot_Enough @AloysiusFekete @RationalEtienne @biogirl09 @ErcXspace Exactly
348,@RexChapman Haha
349,@Erdayastronaut @flcnhvy @ErcXspace SN9 will press CH4 header tank with helium. Long-term solution is under debate.… https://t.co/kaWWoL54jG
350,@flabellina212 @RationalEtienne @biogirl09 @ErcXspace Yes
351,"@RationalEtienne @biogirl09 @ErcXspace Legs would certainly work, but best part is no part, best step is no step"
352,@flcnhvy @ErcXspace Yes
353,@flcnhvy @ErcXspace Saves mass &amp; cost of legs &amp; enables immediate repositioning of booster on to launch mount — rea… https://t.co/jwDCjArymJ
354,"@ErcXspace We’re going to try to catch the Super Heavy Booster with the launch tower arm, using the grid fins to take the load"
355,Snake-head dog had my undivided attention until winder-head ostrich came gliding through all nonchalant https://t.co/dtPMdM3TQp
356,@Tesmanian_com Seems odd that the opposition group is from BMW’s home state of Baveria. That‘s very far from Brande… https://t.co/M7DYvli4cx
357,@Tesmanian_com This is very sensible. Opposition from anywhere cannot mean no progress everywhere!
358,@harsimranbansal Literally
359,@tobyliiiiiiiiii Are we sure this is real?
360,"Destiny, destiny
No escaping 
that for me"
361,All Tesla cars delivered in the final three days of the year will get three months of the Full Self-Driving option… https://t.co/PPaEreeo8y
362,"@SpaceNews_Inc And Mark Dankberg. This action is wack, not dank!!"
363,@Reza_Zadeh Less?
364,@ashleevance Westworld
365,The Last Kingdom show is great
366,"@jayson32292601 Absolutely. Will be text &amp; visualization, but could add voice too."
367,@sfs_central !! Even cheese is made of cake !!
368,"@karpathy If they don’t love us, we’re in deep trouble!"
369,Not everything is made of cake https://t.co/oMaCmYQAwx
370,@chicago_glenn True haha
371,Such a weird game when you think about it https://t.co/5MrvVzmeKG
372,This is not CGI https://t.co/VOivE97vPR
373,@BenSullins We need a UI overhaul
374,"@Maldivawow @CodingMark @Tesla No, these are just incremental improvements to the production codebase. FSD build is… https://t.co/07pUOraMGo"
375,"@SpaceNews_Inc Starlink “poses a hazard” to Viasat’s profits, more like it. Stop the sneaky moves, Charlie Ergen!"
376,Entertainment will be critical when cars drive themselves
377,@kimpaquette Just meeting with Larry Ellison to seek some advice. Back working on Tesla end of quarter tomorrow.
378,@richierichhhhh_ Absolutely
379,What should Tesla do with in-car gaming in an autonomous world?
380,@PPathole @WSJ Absolutely
381,@Tesmanian_com Taste of the future
382,Try playing Polytopia in your Tesla! Great game. Multiplayer online version coming soon.
383,"@WSJ Focus on making products &amp; services people truly love, so that the total economic pie is bigger, instead of en… https://t.co/qe4jcEzyTq"
384,@ThatDesignGuy @m_siphiw @moosuraj @Tesla Roughly 95% of parts in Tesla Roadster were unique — not in any other pro… https://t.co/R3yB6CmRB8
385,@LaurenRow5 @karpathy Yes
386,@engineers_feed Very important
387,"@teslaownersSV @lexfridman Ok, service might be able to do this. Will check."
388,@teslaownersSV @lexfridman You mean install the external speaker on earlier cars that don’t have it?
389,"@GUNMTLM3 @lexfridman No, but definitely this year"
390,@lexfridman Good point
391,@conexionspacial @spacecoast_stve @NASASpaceflight Interesting
392,@flcnhvy Liz has always done great interviews
393,"@spacecoast_stve @NASASpaceflight Falcon was 25% of successful orbital launches in 2020, but maybe a majority of pa… https://t.co/PmGu4vHQEZ"
394,@karpathy Vaccines are just the start. It’s also capable in theory of curing almost anything. Turns medicine into a… https://t.co/URuVC4QF1A
395,@jgrano305 @TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla Yes
396,@TeslaTruckClub @jeremyjudkins @JPUConn @jchybow @DirtyTesla We will offer multiple display options
397,@IvanEscobosa @Erdayastronaut @teslaownersSV A few more revisions needed. Probably Beta 10 or 11.
