AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
6.4893,1022.2,86.19,4.1476,24.098,1087.6,549.66,133.78,12.014,1.343,86.11
6.4935,1022.4,84.82,4.1916,24.053,1088.1,550.03,134.11,11.908,1.3034,86.607
6.079,1022.8,85.053,3.521,19.259,1057,548.09,112.8,10.565,4.6458,105.15
5.4134,1023.8,84.432,3.8312,21.433,1070.4,548.85,122.33,11.186,4.1165,105.73
5.4755,1024,82.83,4.1239,23.893,1087.2,549.96,133.94,11.968,1.4605,87.298
5.9958,1024.2,82.376,4.657,28.128,1099.7,543.28,150.33,12.935,0.78039,82.101
6.7455,1024.3,80.521,4.0011,23.628,1085,550.06,134.24,11.913,1.4327,84.386
7.9304,1023.7,76.271,4.657,28.433,1096.2,540.4,150.02,13.055,1.1222,75.403
9.3818,1022.8,56.158,4.634,28.221,1100.1,543.62,150.5,12.971,0.91143,83.766
10.005,1022.4,55.943,4.5008,27.325,1100.3,547.24,147.72,12.813,0.99325,87.119
10.197,1022.3,57.235,4.6544,28.375,1099.8,543.21,150.6,12.873,0.9363,80.353
10.362,1022.4,58.863,4.096,24.085,1085.9,549.89,134.1,11.974,1.4624,82.31
10.071,1022.3,62.72,4.2234,25.219,1092.3,550.07,139.7,12.124,1.2694,81.801
9.0326,1022.6,66.693,4.2483,25.607,1095,550.06,142.04,12.327,1.1787,84.197
8.6055,1022.7,69.72,4.3266,26.342,1099.2,550.33,145.76,12.551,0.98319,86.667
7.815,1022.4,73.101,4.4504,27.33,1100.1,546.95,149.63,12.771,0.86157,84.144
6.3292,1022.4,79.928,3.9692,23.639,1083.5,549.39,134.62,11.845,1.6684,83.796
5.2115,1022.4,85.43,4.0247,23.447,1083.4,550.05,134.37,11.783,1.7005,84.643
4.9731,1022,85.73,4.0163,23.363,1082.7,550,133.75,11.789,2.3359,83.76
4.5728,1021.7,87.397,4.0737,23.505,1083.9,549.96,134.7,11.883,1.7279,84.253
4.2643,1021.5,88.365,4.0944,23.544,1083.9,549.79,134.32,11.889,1.7017,84.737
4.2732,1021.3,88.375,4.2089,24.291,1088.1,550.1,135.89,12.042,1.5161,85.062
4.2691,1021.2,87.766,4.196,24.088,1086.9,549.98,135.05,11.939,1.4771,85.051
4.393,1021.5,86.622,3.8506,21.467,1037.9,528.08,116.72,11.141,31.971,99.229
3.8907,1021.8,88.81,4.1002,23.675,1084.6,550.09,135.07,11.75,1.7859,85.129
3.7124,1022.3,90.196,4.2672,24.149,1087.4,550.16,134.61,11.96,1.5446,85.929
5.1136,1022.8,91.462,5.2454,31.325,1099.6,532.5,156.91,13.671,0.81911,66.938
6.3887,1022.8,92.302,5.1564,30.83,1099.8,534.63,158.69,13.508,0.74091,67.781
8.2123,1022.4,94.78,4.8574,28.643,1100.1,542.5,151.81,13.113,0.97347,76.702
10.198,1021.9,88.976,4.7889,28.198,1099.8,544.07,149.86,13.046,1.0479,78.061
11.121,1021.8,79.605,4.7062,28.211,1100.4,544.15,149.72,13.084,1.2479,78.062
11.246,1021.9,77.457,4.8301,28.96,1100.2,541.54,151.6,13.107,1.1366,75.082
11.291,1022.2,77.777,4.1511,24.021,1085.7,549.9,133.7,11.813,1.7195,77.424
11.052,1022.2,81.374,4.1384,23.914,1085.3,550.01,133.59,11.83,1.7777,77.22
9.9509,1022.3,86.819,4.169,24.103,1086.2,549.92,134.77,11.907,1.8138,77.21
9.0512,1022.4,89.686,4.1568,23.716,1084,549.82,133.41,11.783,1.7967,77.328
8.2406,1022.9,88.949,4.3147,24.901,1091.1,550.15,139.36,12.131,1.4134,79.667
7.8063,1023,88.166,4.2042,24.063,1086.5,550.13,135.71,11.972,1.7916,79.416
6.9265,1023,89.427,4.1485,23.407,1082.8,550.02,133.29,11.741,1.9341,81.682
6.2019,1022.9,92.396,4.2639,23.767,1085,550.21,134.86,11.928,1.7545,81.195
5.838,1022.8,93.29,4.2806,23.68,1084.5,550.05,134.65,11.855,1.6754,81.945
5.6929,1022.7,93.167,4.304,24.038,1086.6,549.99,135.25,11.983,1.6491,83.449
5.5346,1022.7,93.228,4.286,24.096,1087,550.03,135.14,11.879,1.6431,83.558
5.7913,1021.2,90.801,4.1287,22.917,1062.8,538.95,125.81,11.559,17.437,94.277
5.3449,1021.1,91.843,4.1819,23.648,1084.2,549.91,133.64,11.757,1.5613,84.422
5.1123,1020.9,94.465,4.2542,23.638,1084.3,550.03,133.67,11.7,1.4721,83.333
5.3562,1021,99.571,4.3758,23.531,1083.7,550.03,133.34,11.664,1.3363,82.396
6.094,1021.1,100.18,4.6927,23.781,1086,550.12,133.22,11.843,1.4972,82.142
7.4314,1020.9,99.956,4.7902,24.566,1089.4,550,135.19,12.076,1.3169,81.71
8.5936,1020.4,99.724,4.781,24.366,1087.6,550.08,133.76,12.02,1.3219,79.232
9.8173,1019.6,97.878,4.7519,23.986,1085.4,550.03,133.75,11.935,1.4898,77.145
10.343,1018.5,96.807,4.7638,24.054,1085.4,549.88,133.74,11.915,1.7097,77.139
10.712,1017.6,93.895,4.7269,25.167,1091.6,549.86,138.74,12.118,1.3249,78.116
10.599,1017.1,92.698,4.5548,25.415,1093,550.22,139.67,12.082,1.3134,79.405
10.69,1016.9,92.305,4.3562,24.097,1085.4,550.1,133.57,11.857,1.6526,77.231
10.247,1016.6,94.086,4.3582,24.009,1084.9,550.07,133.52,11.686,1.7577,77.153
9.2286,1016.4,95.86,4.4023,23.568,1082.5,549.98,132.2,11.65,2.1855,77.199
8.8895,1016.5,96.73,4.5986,24.158,1086,550.07,134.76,11.798,1.5168,77.084
8.5251,1016.5,94.728,4.452,23.983,1085.2,550.05,134.32,11.767,1.6508,77.305
6.8583,1016.4,92.812,4.4024,23.871,1084.6,549.86,134.74,11.879,1.4624,81.072
5.4839,1016,96.092,4.5288,23.852,1084.7,550.1,135.12,11.866,1.8067,82.097
5.1159,1015.7,98.623,4.7282,23.843,1084.9,550.09,135.21,11.963,1.9478,82.314
4.9338,1015.3,99.869,4.8521,23.692,1083.8,549.94,134.43,11.851,1.8624,82.891
4.8061,1015,100.08,5.0605,24.081,1086.2,550.1,135.49,11.955,1.4915,82.054
5.2138,1015,100.18,4.9899,24.161,1086.7,550.17,134.66,12.034,1.3126,81.952
5.746,1014.8,100.17,4.963,24.062,1085.8,550.06,134.01,11.83,1.4267,82.146
5.9927,1014.3,100.18,5.0052,23.973,1085.2,549.89,133.57,11.786,1.5817,82.062
6.3223,1013.9,100.18,5.0599,24.174,1086.3,550.04,134.27,11.94,1.6643,81.967
6.734,1013.6,100.17,5.1539,24.313,1086.9,550.08,134.67,11.926,1.6142,82.019
7.1418,1013.3,100.13,5.1639,24.332,1086.9,549.91,134.51,11.86,1.3204,82.079
7.4561,1013.1,99.555,5.2384,24.441,1087.5,550.15,134.87,11.933,1.3139,82.169
7.4089,1013.1,98.936,5.2313,23.882,1084.4,550.01,134.02,11.777,1.4937,82.114
7.3384,1013.3,100.1,5.499,24.055,1085.2,550.06,134.73,11.936,1.6799,79.398
8.2968,1012.6,100.17,5.8685,24.856,1089.5,550.01,137.97,11.97,1.3188,77.816
9.3303,1011.7,100.17,6.0908,24.425,1086.6,549.97,135.42,11.842,1.6058,76.993
10.137,1010.5,100.17,6.358,24.559,1087,549.97,135.7,11.801,1.3174,76.04
10.438,1009.1,99.727,6.1715,24.136,1084.5,549.97,133.7,11.802,1.4964,76.057
9.8976,1008,100.15,6.0726,24.481,1086.5,549.9,135.65,11.878,1.3149,77.134
9.94,1007.3,100.17,5.9766,24.092,1084.3,549.88,133.75,11.793,1.3819,76.342
9.9082,1006.8,100.17,6.0445,24.073,1084.2,549.95,133.75,11.707,1.4919,74.8
10.508,1006.4,99.221,5.8844,24.06,1083.7,550.07,133.52,11.678,1.6164,74.578
10.462,1005.6,98.315,5.7329,24.114,1084.5,549.9,133.96,11.806,1.4671,75.424
12.184,1004.6,91.008,4.8536,24.357,1085.8,550.04,134.73,11.865,1.1066,75.595
12.62,1003.9,89.17,4.4631,24.265,1085.3,550.19,134.03,11.894,1.276,74.483
13.981,1002.9,83.262,4.4213,24.372,1086.3,549.98,134.35,11.949,1.3186,75.082
14.742,1002.3,78.706,4.5311,25.55,1092.4,550.27,139.71,12.186,1.3054,79.374
14.991,1001.2,78.481,4.3795,24.408,1086.1,550.07,134.41,11.974,1.6468,74.597
14.867,1000.2,76.831,4.3998,24.568,1086.9,550.01,134.91,11.922,1.292,75.145
14.475,999.49,76.982,4.3433,24.294,1085,550.1,133.33,11.761,1.3274,73.822
14.936,998.76,75.63,4.4135,24.775,1087.4,549.99,135.35,11.933,1.2177,75.104
14.956,998.01,74.836,4.4128,24.672,1086.7,550.14,134.66,11.805,1.3609,78.443
15.399,996.84,74.237,3.9852,22.193,1048.3,534.51,118.99,11.137,27.25,83.232
16.093,996.28,72.2,4.2949,24.35,1084.8,550.14,133.36,11.711,1.2698,74.45
15.829,995.76,70.396,4.3763,24.644,1086,550.15,134.38,11.742,1.1856,75.971
16.092,995.4,69.185,4.3591,24.637,1086.1,550.34,134.32,11.748,1.2879,75.6
16.295,995,66.199,4.3641,24.564,1085.5,550.27,133.74,11.786,1.3061,76.234
16.397,994.37,66.738,4.4143,24.824,1086.7,549.88,134.72,11.897,1.3,77.425
16.881,993.51,65.659,4.3718,24.638,1085.6,549.83,133.82,11.895,1.3279,76.363
16.977,992.42,64.813,4.4265,24.747,1085.6,550.29,133.71,11.889,1.3078,77.253
17.435,991.73,63.808,4.3883,24.682,1085.7,550.06,133.74,11.883,1.5358,77.384
18.118,991.01,61.432,4.3286,24.42,1084.1,549.99,132.48,11.804,1.5369,77.266
18.256,990.28,60.258,4.3468,24.655,1085.4,550.37,133.65,11.844,1.2988,77.843
17.916,989.67,61.48,4.3236,24.645,1085.5,550.17,133.74,11.806,1.295,77.969
17.937,988.97,62.85,4.3658,24.712,1085.3,549.67,133.46,11.737,1.3245,77.439
17.99,988.63,60.753,4.4593,25.064,1086.3,549.69,134.16,11.809,1.308,79.064
18.345,988.2,60.41,4.4171,24.869,1085.9,550.29,133.76,11.778,1.3129,77.401
18.925,988.11,56.205,4.3698,24.679,1085.1,550.16,132.83,11.747,1.353,78.668
18.864,987.84,56.245,4.3494,24.758,1085.9,549.89,133.13,11.822,1.1937,79.472
17.91,988.21,64.503,4.2801,24.696,1085.9,549.79,133.66,11.837,1.0446,76.663
17.167,988.87,75.068,4.3595,24.712,1085.6,550.36,133.7,11.954,1.0953,75.148
15.17,988.65,85.723,4.3959,24.557,1083.9,550.26,132.7,11.806,1.2589,74.49
15.144,989.32,85.043,4.3848,24.474,1083.8,550.29,132.49,11.739,1.3671,74.735
15.802,990.22,78.479,4.3457,24.4,1083.7,550.16,132.25,11.777,1.3577,75.108
15.794,990.87,77.336,4.2299,23.861,1074.6,545.86,128.52,11.493,6.6815,81.353
15.327,992.42,77.042,3.9868,22.33,1049.8,535.33,119.04,11.208,26.999,80.448
15.212,993.55,76.841,4.2812,24.651,1086.2,550.05,134.26,11.834,1.4375,74.702
15.034,994.75,78.059,4.2485,24.481,1085.7,550.17,133.84,11.76,1.3246,73.992
15.403,995.92,76.983,4.2367,24.409,1085.4,550.25,133.53,11.787,1.4918,73.617
15.461,996.96,75.899,4.2785,24.655,1086.9,549.97,134.69,11.915,1.2965,76.071
15.821,997.65,75.109,4.2865,24.648,1086.7,550.1,134.69,11.891,1.3339,75.077
16.402,997.88,74.859,4.2386,24.441,1085.7,550.24,133.92,11.865,1.3823,74.383
16.416,998.17,73.826,4.225,24.438,1085,549.99,133.75,11.866,1.3374,73.995
14.628,999.05,79.638,4.2074,24.494,1085,550.2,133.75,11.869,1.5402,74.27
13.126,999.57,84.483,4.1593,24.254,1084.3,550.15,133.75,11.873,1.6692,74.223
12.453,1000.2,89.09,4.1645,24.215,1084.4,550.15,133.73,11.876,1.4605,74.189
11.837,1000.8,91.391,4.1976,24.236,1084.9,550.18,134.23,11.879,1.3247,74.179
11.218,1001.3,94.007,4.2095,24.054,1084.6,549.98,134,11.789,1.3963,74.207
10.958,1001.8,97.01,4.2847,24.223,1085.6,550.27,134.75,11.791,1.0442,72.842
11.133,1002.3,98.076,4.3442,24.075,1084.1,550.17,133.44,11.756,0.93737,72.02
10.816,1002.5,97.742,4.3445,24.368,1085.6,550.3,134.73,11.853,0.80217,74.242
10.367,1002.7,96.624,4.3048,24.184,1085.5,550.13,134.71,11.943,1.3615,74.447
9.8253,1002.8,96.429,4.3078,24.215,1085.8,549.94,135.29,11.994,1.7209,75.186
9.1004,1003,96.006,4.2451,23.966,1084.7,549.98,134.7,11.943,1.6961,76.684
8.4583,1002.8,97.25,4.2699,24.045,1085.3,550.03,135.27,11.918,1.5312,76.778
7.0444,1006.4,96.843,4.0069,22.229,1048.1,532.44,121.93,11.328,31.538,87.493
7.4793,1006.5,96.254,4.1698,23.648,1083.3,550.1,133.52,11.651,1.7969,80.574
7.757,1006.4,93.41,4.1479,23.628,1083.3,550.17,133.7,11.676,1.6875,79.718
7.9574,1006.3,92.203,4.1637,23.696,1083.5,549.96,133.7,11.703,1.7095,78.34
8.0879,1006.2,90.445,4.1564,23.734,1083.4,549.98,133.71,11.73,1.716,77.952
8.1587,1006.6,90.236,4.1639,23.733,1083.3,550.02,133.7,11.757,1.7114,77.872
8.0879,1007,91.134,4.1497,23.703,1083.3,549.93,133.7,11.788,1.7121,78.046
7.9906,1007.4,91.253,4.1225,23.735,1083.5,549.97,133.71,11.839,1.6686,78.125
7.9425,1007.5,91.599,4.153,23.731,1083.4,550.21,133.71,11.891,1.6961,77.625
8.0706,1007.6,92.148,4.1973,23.991,1084.3,549.96,134.51,11.906,1.4806,78.481
8.0643,1007.7,91.38,4.1492,23.747,1083.2,549.94,133.71,11.83,1.5596,79.723
8.0512,1007.8,90.384,4.1338,23.751,1083.4,549.9,133.71,11.763,1.7001,80.847
8.0003,1007.9,90.149,4.1711,24.028,1085.2,549.92,135.33,11.84,1.4529,81.59
7.7199,1007.8,90.502,4.1487,23.827,1084.4,549.91,134.84,11.831,1.5398,80.856
7.346,1007.7,91.087,4.1449,23.672,1083.8,549.96,134.29,11.826,1.5398,80.513
7.1416,1007.4,91.564,4.2487,24.446,1088,549.93,137.78,12.024,1.3072,80.585
7.2742,1007.4,89.448,4.1477,23.832,1084.5,549.89,134.72,11.884,1.5072,79.141
7.2804,1007.6,86.61,4.1006,23.561,1083.2,549.85,133.68,11.84,1.7374,80.357
7.1797,1007.5,85.845,4.077,23.541,1083.1,549.98,133.69,11.846,1.7184,80.528
7.2261,1007.4,85.64,4.0843,23.606,1083,549.99,133.68,11.852,1.7091,80.507
7.3346,1007.7,86.45,4.0771,23.65,1083.1,549.96,133.68,11.858,1.7781,80.528
7.2752,1008.2,86.306,4.0752,23.698,1083.6,549.96,134.01,11.844,1.6733,80.623
7.2419,1008.8,87.374,4.1626,24.248,1086.7,550.1,136.53,11.867,1.3605,81.393
7.334,1009.5,88.411,4.1381,23.997,1085.5,550.14,135.58,11.852,1.4203,81.315
7.6131,1010.1,88.493,4.1167,23.855,1084.4,550.02,134.69,11.834,1.5992,79.828
8.0856,1010.6,87.085,4.0891,23.713,1083.5,550.04,133.75,11.84,1.7317,79.605
8.3858,1010.8,85.419,4.1301,23.925,1084.7,549.99,134.58,11.816,1.5184,79.546
8.5583,1010.8,85.004,4.0974,23.814,1083.7,550.03,133.79,11.779,1.7179,80.457
8.8214,1011.1,84.233,4.0673,23.703,1083,550.01,133.15,11.712,1.7171,80.608
9.2077,1011.6,81.548,4.0952,24.05,1085.1,550.01,134.56,11.961,1.6902,80.553
9.3188,1012.3,80.248,4.0969,23.895,1084.1,550.14,133.77,11.886,1.7351,79.455
9.2426,1013,83.23,4.5892,27.394,1089.8,541.42,144.39,12.663,1.4706,74.227
8.7846,1013.6,85.529,5.4273,33.493,1099.9,526.3,163.93,14.214,0.93444,65.643
8.3514,1014.2,85.702,5.4543,33.611,1100.1,525.99,164.63,14.257,0.83749,65.24
8.1364,1015,85.949,4.0928,23.891,1084.5,549.21,135,11.898,1.5584,79.641
7.6534,1015.6,86.663,4.1134,23.886,1085.3,550,135.06,11.898,1.5403,79.633
7.4401,1016,86.855,4.0703,23.584,1083.8,549.98,133.9,11.915,1.7054,79.563
6.8768,1016.2,86.856,4.1191,24.183,1087.2,549.98,136.94,11.926,1.3482,79.726
6.0245,1016.3,87.909,4.067,23.608,1084.1,549.74,134.68,11.827,1.6914,81.662
5.4182,1016.4,90.172,4.2104,23.824,1085.6,549.93,134.27,11.937,1.6448,82.355
5.7219,1016.6,88.684,4.2522,24.1,1087.3,549.99,134.33,12.045,1.3191,83.603
5.8848,1016.8,87.026,4.1904,23.827,1086.2,550.01,133.46,11.88,1.3472,84.265
5.5817,1016.7,85.499,3.8489,21.035,1035.4,527.44,114.07,11.064,35.019,97.863
5.4317,1016.9,85.524,4.2254,23.854,1086.9,550.19,133.68,11.934,1.3253,84.908
5.2603,1016.9,85.059,4.2078,23.877,1086.7,549.96,134.04,11.998,1.3483,85.034
4.9838,1016.9,84.006,4.2466,24.108,1088.4,549.84,135.24,12.055,1.3722,85.043
5.0631,1016.9,82.765,4.1699,24.11,1088.3,549.82,136.32,12.075,1.356,84.205
5.1721,1016.9,86.024,4.005,23.173,1083.1,550.02,133.8,11.765,1.8177,81.92
6.2324,1017.1,88.181,4.0361,23.34,1083.4,550.11,133.76,11.776,1.6265,80.561
7.315,1016.3,82.664,4.0515,23.619,1085.1,549.99,134.65,11.935,1.6046,83.449
8.3328,1015.6,75.092,4.0147,23.605,1084.3,550.09,133.76,11.888,1.7224,81.896
9.025,1015.1,69.365,4.0526,23.667,1084.5,550.03,133.76,11.841,1.6683,78.971
9.3045,1015.3,72.005,4.0485,23.662,1084.5,549.97,133.77,11.828,1.8544,77.76
9.2169,1015.8,70.518,4.0547,23.622,1084.6,550,133.77,11.879,1.451,78.824
8.8609,1016,70.597,4.4208,26.214,1088.6,543.68,141.83,12.532,1.6213,76.836
8.3759,1016.3,74.595,5.292,32.602,1100,528.19,162.92,14.146,1.1048,66.517
7.6279,1016.5,80.032,5.3557,32.982,1100.1,527.3,164.13,14.155,0.97698,67.679
7.2977,1016.6,85.041,4.4063,25.868,1088.2,544.56,141.92,12.284,1.1942,77.053
7.5282,1016.7,89.422,4.161,23.617,1084.9,549.95,134.85,11.94,1.483,78.236
7.5387,1016.9,89.944,4.1225,23.449,1084,550,134.04,11.936,1.6883,78.477
7.5363,1017.1,91.681,4.1526,23.546,1084.4,549.96,134.43,11.893,1.7288,78.391
7.3843,1016.9,92.442,4.1426,23.396,1083.7,550.13,133.75,11.801,1.9594,79.39
7.4267,1016.7,91.312,4.3006,24.626,1090.4,549.77,139.06,12.049,1.6149,81.817
7.7222,1016.7,87.072,4.1083,23.536,1084.3,549.95,133.77,11.895,1.7277,81.113
7.6417,1016.6,84.898,3.7828,21.41,1062.7,544.76,122.38,11.139,5.339,93.339
7.6345,1016.7,84.02,3.4947,19.449,1042.1,538.82,111.92,10.533,7.44,89.631
7.4278,1016.4,84.501,3.4595,19.569,1040.2,537.45,111.72,10.581,8.0138,90.316
6.9381,1016.4,91.093,3.5368,19.705,1041,537.24,112.67,10.723,8.5344,92.164
6.991,1016.6,90.611,4.0875,23.544,1083.7,550.06,133.67,11.741,1.7977,80.226
7.2087,1016.8,88.938,4.071,23.541,1083.9,550.21,133.65,11.734,1.6398,80.036
7.1966,1017,90.935,4.0996,23.688,1084.6,550.11,134.27,11.795,1.6879,79.545
7.296,1017.2,92.481,4.1191,23.8,1085.3,550.13,134.72,11.87,1.6718,78.549
7.3752,1017.6,93.598,4.9553,29.51,1094.1,535.68,152.47,13.279,1.1353,69.655
7.3361,1017.5,94.602,5.4316,32.654,1100,528.35,163.45,13.945,0.81361,64.365
7.4467,1017.3,93.893,5.4257,32.981,1100.1,526.68,163.94,14.146,0.74238,64.096
7.2602,1017.4,92.168,5.3866,32.804,1100.2,527.27,163.98,14.166,0.73813,64.781
6.9274,1017.7,89.852,5.3836,33.262,1100.3,526.06,164.85,14.264,0.86236,66.462
7.0533,1018.1,81.111,5.2441,33.008,1100.1,527.18,164.15,14.193,0.81939,67.479
7.1476,1018.5,78.347,5.2597,33.284,1100.2,525.76,164.68,14.288,0.92138,68.682
7.2451,1018.9,78.57,5.2294,32.751,1099.7,527.83,163.76,14.102,0.87672,68.702
7.3472,1019.3,77.571,5.0452,31.438,1097.2,530.47,159.09,13.823,1.0691,70.82
7.2666,1019.6,75.901,3.9715,23.74,1084.8,550.02,134.51,11.809,1.525,81.774
7.2007,1020.1,77.212,3.9966,23.827,1085.1,549.78,134.71,11.839,1.5465,81.513
7.2855,1020.4,74.94,4.0341,23.795,1085.2,549.95,134.72,11.888,1.5863,83.441
7.3476,1020.6,73.617,4.0388,23.727,1085.2,550.04,134.68,11.86,1.5148,82.426
7.3896,1020.9,73.675,4.0493,23.749,1086,550.12,135.06,11.856,1.5502,82.149
5.7826,1022.7,82.005,4.0256,23.083,1066.2,539.66,127.96,11.706,29.341,86.95
5.6669,1023.2,83.311,5.2212,32.093,1097.3,528.67,160.12,13.899,1.2141,68.559
6.0859,1023.5,85.13,5.3051,32.769,1100.4,526.62,164.46,14.218,0.75697,65.628
7.2745,1023.7,82.014,5.3407,33.034,1100.2,526,163.95,14.23,0.71516,64.847
8.8629,1023.3,75.879,5.316,32.807,1100.3,527.78,162.54,14.089,0.96628,66.444
9.6107,1022.7,73.271,5.3581,33.074,1100,526.91,162.85,14.127,1.2728,66.422
9.7717,1022.4,71.034,5.3099,32.748,1100.1,527.97,162.29,14.056,0.97283,67.102
9.9905,1022.2,67.58,5.3377,33.042,1100,526.81,162.57,14.12,0.95571,67.223
9.8237,1022.1,70.629,5.3045,32.706,1099.9,527.85,162.03,14.051,1.0247,67.044
9.8056,1022.1,71.353,5.3873,33.207,1100.2,526.39,162.98,14.209,0.93374,66.339
9.2066,1022.2,73.405,5.2976,32.992,1100.1,527.26,163.1,14.082,0.86894,66.009
8.7413,1022.3,75.011,5.3629,33.312,1100,526.27,163.91,14.158,0.96774,66.106
8.1971,1022.1,75.799,5.2696,32.921,1100.1,527.35,163.81,14.037,0.8214,65.433
6.8928,1022,80.482,4.9193,30.183,1094.4,533.69,155.7,13.378,1.0082,71.364
5.6221,1021.7,85.054,4.1286,23.656,1084.5,549.95,135.29,11.904,1.7481,82.487
5.0085,1021.1,88.25,4.2155,23.973,1086.4,549.79,135.45,11.986,1.6619,84.337
5.3039,1020.6,88.786,4.2341,24.101,1087,549.78,134.77,11.911,1.4314,83.215
5.6397,1020.1,88.235,4.2061,23.862,1085.4,549.88,133.33,11.901,1.5116,83.746
5.866,1019.5,87.226,4.2697,24.247,1087.4,549.73,134.97,11.991,1.6079,83.576
5.8573,1019,87.366,4.1986,23.964,1085.5,549.92,133.53,11.82,1.7846,84.539
5.6602,1018.3,86.968,3.8404,21.079,1028.5,523.86,112.02,10.963,43.428,99.237
5.0232,1017.8,87.114,3.8648,21.435,1032.5,524.71,113.6,11.029,43.397,92.062
4.4065,1016.6,86.176,4.1075,23.162,1067.1,541.04,128.14,11.601,18.049,91.258
4.2052,1016.4,87.248,4.2198,23.892,1085.3,550.07,133.93,11.869,1.4223,86.535
5.0307,1016,89.729,4.3506,24.713,1089.9,549.84,137.69,12.163,0.99755,83.524
7.8042,1015.4,91.954,4.5995,25.949,1097.5,549.61,143.71,12.276,0.99244,85.839
9.3252,1014.9,81.431,4.3378,24.73,1090,549.86,137.76,12.15,1.5498,78.698
9.9308,1014.2,77.836,5.0069,29.505,1099.7,539.49,153.86,13.292,1.3501,77.995
10.554,1013.1,70.983,5.0451,29.515,1099.7,539.61,153.74,13.24,1.0598,76.809
11.127,1012.4,65.24,5.0449,29.548,1099.6,539.38,153.74,13.156,0.76966,76.396
11.612,1012,68.431,4.2839,24.08,1085.1,549.41,134.21,11.866,1.2337,79.965
11.76,1011.8,70.012,4.3542,24.713,1088.4,549.53,136.86,12.063,1.2398,78.269
11.722,1011.8,72.257,5.3998,32.417,1099.7,529.5,160.44,13.873,0.88564,68.844
11.257,1011.7,76.337,5.4114,32.231,1099.9,530.09,160.43,13.94,0.93581,67.876
10.859,1011.8,79.192,5.419,32.355,1100.1,529.46,160.77,13.981,0.98694,68.947
10.649,1011.8,81.698,5.387,32.134,1100,530.53,160.44,13.892,0.99639,69.676
10.619,1011.8,83.524,4.8873,28.493,1100,542.91,151.56,12.958,1.0718,78.353
10.03,1012,83.717,4.2169,23.901,1085.4,550.15,134.49,11.904,1.7306,78.091
9.0172,1011.9,89.166,4.2265,23.801,1084.7,549.97,134.1,11.751,1.6047,77.137
8.8861,1011.4,90.319,4.2505,23.948,1085.2,549.84,134.62,11.853,1.5356,77.166
7.9027,1011.4,89.338,4.2648,24.15,1085.4,549.95,135.45,11.909,1.4117,79.282
7.5923,1011.2,89.435,4.2398,24.063,1084.9,550.12,134.86,11.921,1.479,78.891
7.3109,1010.7,90.048,4.2013,23.754,1083.3,550.1,133.67,11.897,1.4341,79.403
6.6235,1010.6,90.145,4.2246,23.68,1082.9,550,133.68,11.866,1.5931,81.564
7.0321,1010.4,91.962,4.2651,23.936,1084.2,550.19,134.28,11.84,1.6717,80.6
8.1267,1010.4,84.555,4.1846,24.086,1085.2,550.06,134.67,11.834,1.6258,80.54
8.4214,1010.5,77.878,4.0715,23.805,1084.8,550.09,134.33,11.827,1.3811,80.139
7.6014,1010.4,84.881,4.0652,23.852,1085.5,550.2,135.27,11.96,1.5433,80.81
6.7555,1011,91.691,4.4361,25.285,1093.5,550.08,142.3,12.181,1.328,82.593
